TARGETID,K_R,K_R_ERR,Z
39627856925430249,,inf,2.6609433339438984
39627850885632702,,inf,2.4489983194361304
39627850885631687,,inf,2.455346642027989
39627856921232827,,inf,2.3052251822339094
39627850881438000,,inf,2.394189397196154
39627844875196038,,inf,2.354467337163229
39627790756092260,,inf,2.6784633505675584
39627784720488789,,inf,2.4844678002745786
39627868895971272,,inf,2.5389473727011995
39627886977618492,,inf,2.454264400862471
39628074949545215,,inf,2.4855502443340503
39628063096438944,,inf,2.528486990858656
39627913645000165,,inf,2.7030314912789644
39628127806161989,,inf,2.618373552556447
39628127806167015,,inf,2.4937869717668093
39628127797778888,,inf,2.6494365341646575
39628127801970350,,inf,2.5601169187371022
39628133665609446,,inf,2.725867333740734
39628121942529014,,inf,2.508354713132436
39628127793583287,,inf,2.442542027971406
39628180566315145,,inf,2.413631465654288
39628186371228535,,inf,2.4740176800154194
39628186371231130,,inf,2.454073669621733
39628192155177029,,inf,2.333627905276432
39628174769784855,,inf,2.73318246121132
39628180570509587,,inf,2.747387764411333
39628169019393666,,inf,2.5644890377894356
39628169019395150,,inf,2.580033521093655
39628174828506674,,inf,2.589632874206274
39628174828506236,,inf,2.5766865189810595
39628174828506216,,inf,2.5868382663381126
39628180629230639,,inf,2.4107815389369884
39628180629229883,,inf,2.67442019126844
39628186421561742,,inf,2.4075227625887523
39628180620840164,,inf,2.4994819913379835
39628021556053202,,inf,2.5067542661243816
39628021551862101,,inf,2.5533499538622237
39628015600143874,,inf,2.3967552437032813
39628169078115371,,inf,2.329452453239339
39628174887224302,,inf,2.4235827684478806
39628186488668579,,inf,2.5583526740490856
39628174883031814,,inf,2.461234142730237
39628169069726452,,inf,2.317461762516819
39628169069725295,,inf,2.315320624169989
39628163256419703,,inf,2.4784009792965
39628180692144633,,inf,2.330402774126754
39628180687946698,,inf,2.5744066252795013
39628174878835324,,inf,2.4188385264019243
39628145573235529,,inf,2.537445801945382
39627527282498146,,inf,2.7643850374782666
39627610824641195,,inf,2.3560093466686394
39627610824639831,,inf,2.7139666001543237
39627604826784396,,inf,2.576552829434154
39627550963538034,,inf,2.4376043777256737
39627580810202440,,inf,2.44625023517918
39627592776550708,,inf,2.4443271091464087
39627580818588106,,inf,2.335494202389326
39627569271670907,,inf,2.4264981767221987
39627563307371539,,inf,2.421011832623945
39627599172862494,,inf,2.3757832901354727
39627575223389446,,inf,2.60737402376499
39627575227586197,,inf,2.304114903387676
39627587181351467,,inf,2.740436979760059
39627575219193553,,inf,2.6711659831854657
39627665199596291,,inf,2.3502754502410115
39627653195501197,,inf,2.4080969974652158
39627557141745746,,inf,2.5325439385034145
39627557133353524,,inf,2.3436352069673605
39627557133353750,,inf,2.315896974260708
39627743528224047,,inf,2.3001896892097373
39627743528224772,,inf,2.6782047099711104
39627749572218473,,inf,2.49579800670333
39627755612018224,,inf,2.4004109192219083
39627743532418695,,inf,2.7531326444839186
39627749568025649,,inf,2.3464237899396014
39627755607821515,,inf,2.7308621829690454
39627755616208069,,inf,2.3747049843051173
39627755612014513,,inf,2.413969942175042
39627829414988798,,inf,2.353769220967145
39627769017009050,,inf,2.4844835063458492
39627775048421034,,inf,2.718100373790207
39627775052614688,,inf,2.621685820047321
39627775052613166,,inf,2.5134003710162727
39627781079829863,,inf,2.3641694467970917
39627769004429300,,inf,2.3298874672662166
39627781079827778,,inf,2.6395837080289626
39627769012815487,,inf,2.7262497059651483
39627775048420659,,inf,2.3588828015775065
39627769012816224,,inf,2.638269239110552
39627775031645514,,inf,2.3638454233822017
39627775031644692,,inf,2.429443260617002
39627775035835123,,inf,2.4072008771662943
39627769008621505,,inf,2.4680169069920495
39627781084023335,,inf,2.7281168312181165
39627781084021307,,inf,2.4583900219670127
39627967973821941,,inf,2.6244990017003484
39627974005230289,,inf,2.3369288708304685
39627950038978159,,inf,2.636503562012026
39627962034687958,,inf,2.707317907255382
39627962026298903,,inf,2.7503010907328314
39627962026295818,,inf,2.3977057801310075
39627968032538686,,inf,2.595197132832008
39627974026200245,,inf,2.3479700813375652
39627962043074913,,inf,2.3815917337856516
39627968024153441,,inf,2.349474853666157
39627962030489726,,inf,2.564839771068996
39627962038881975,,inf,2.6973159851915476
39627974022008665,,inf,2.497613662721991
39627962034684636,,inf,2.328043458806407
39627974022007562,,inf,2.500581986804928
39627774876451129,,inf,2.3752437822948367
39628075293478598,,inf,2.494765098402216
39627708585476434,,inf,2.3770741122544625
39627720648295936,,inf,2.6502124577902912
39627708572895565,,inf,2.5802546259133385
39627708585477672,,inf,2.526298492013352
39627708581283545,,inf,2.4559821940163373
39627708577091416,,inf,2.5407883132286893
39627708577090441,,inf,2.301530011239853
39627714612692397,,inf,2.452507075115005
39627714604305665,,inf,2.532207697540661
39627714604305821,,inf,2.574032838326604
39627618340831291,,inf,2.37361137000054
39628051415304736,,inf,2.562278334146387
39627793377528048,,inf,2.537607348817741
